"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,γ,"R e,out/R e,in",t out/t in,φ r,ke,"fy,out","fy,in","fc,ref",N0,Nexp
67.5,2.5,36.4,1.6,1079.922475,373.9751895,1453.897664,9777.421736,4162.484602,0.562962963,0.0,1.854395604,1.5625,1.0,1.0,307.0,429.0,32.47149887,809.4590949,941.7
67.5,2.5,36.4,1.6,1079.922475,373.9751895,1453.897664,9777.421736,4162.484602,0.562962963,0.0,1.854395604,1.5625,1.0,1.0,307.0,429.0,32.47149887,809.4590949,928.1
217.0,8.0,192.0,8.0,11108.67162,9852.034562,20960.70618,22270.75032,115811.6716,0.921658986,0.0,1.130208333,1.0,1.0,1.0,365.0,363.0,35.35827748,8418.409058,8906.0
217.0,8.0,192.0,8.0,11108.67162,9852.034562,20960.70618,22270.75032,115811.6716,0.921658986,0.0,1.130208333,1.0,1.0,1.0,365.0,363.0,35.35827748,8418.409058,8773.7
49.2,1.7,23.27,1.53,534.6048219,231.0550291,765.6598509,5672.459695,1701.150117,0.504065041,0.0,2.114310271,1.111111111,1.0,1.0,353.3,376.5,36.41924933,482.454826,583.0
49.2,1.7,22.38,3.07,534.6048219,461.3054962,995.9103181,5569.847425,1573.511919,0.517276423,0.0,2.198391421,0.553745928,1.0,1.0,353.3,228.9,36.41924933,497.3183738,634.0
48.16,2.79,23.27,1.53,868.7034616,231.0550291,1099.758491,5354.359616,1701.150117,0.514950166,0.0,2.069617533,1.823529412,1.0,1.0,226.0,376.5,36.41924933,478.3209586,593.0
48.16,2.79,22.38,3.07,868.7034616,461.3054962,1330.008958,5251.747346,1573.511919,0.528446844,0.0,2.151921358,0.908794788,1.0,1.0,226.0,228.9,36.41924933,493.1845064,681.0
54.26,2.79,23.27,1.53,975.6369924,231.0550291,1206.692021,7317.107326,1701.150117,0.457058607,0.0,2.331757628,1.823529412,1.0,1.0,281.2,376.5,36.41924933,627.8248968,804.0
54.26,2.79,22.38,3.07,975.6369924,461.3054962,1436.942489,7214.495056,1573.511919,0.469037965,0.0,2.424486148,0.908794788,1.0,1.0,281.2,228.9,36.41924933,642.6884446,891.0
