"R e,out","t e,out","R e,in","t e,in",e,"fy,out","fy,in","fc,ref",L/r,ke,N0,Nexp
78.76,3.69,18.05,3.2,0.0,357.7,409.8,141.0,13.50668846,1.0,3378.11,3110.0
78.8,3.7,35.2,2.8,0.0,357.7,385.6,53.7,12.70965976,1.0,1722.85,1831.0
78.8,3.7,35.31,2.79,0.0,357.7,385.6,53.7,12.70354015,1.0,1721.39,1876.0
78.88,3.67,35.24,2.81,0.0,357.7,385.6,90.7,12.7009268,1.0,2275.58,2174.0
78.91,3.69,35.4,2.8,0.0,357.7,385.6,90.7,12.68553512,1.0,2277.79,2202.0
78.72,3.68,35.35,2.8,0.0,357.7,385.6,141.0,12.71433249,1.0,3015.83,2732.0
78.64,3.71,35.27,2.78,0.0,357.7,385.6,141.0,12.72532805,1.0,3016.13,2736.0
76.69,5.96,35.26,2.79,0.0,347.0,385.6,53.7,12.68681713,1.0,2031.02,2183.0
76.51,5.99,35.29,2.81,0.0,347.0,385.6,53.7,12.70465548,1.0,2030.83,2203.0
76.44,6.01,35.15,2.8,0.0,347.0,385.6,90.7,12.71896647,1.0,2543.54,2666.0
76.4,6.0,35.1,2.8,0.0,347.0,385.6,90.7,12.72828207,1.0,2540.22,2631.0
76.44,6.01,35.19,2.81,0.0,347.0,385.6,141.0,12.71673946,1.0,3238.8,3110.0
76.4,6.0,35.27,2.78,0.0,347.0,385.6,141.0,12.71879909,1.0,3229.87,3032.0
76.65,5.95,35.26,2.79,0.0,428.6,385.6,53.7,12.69331245,1.0,2270.51,2645.0
76.54,5.96,35.21,2.79,0.0,428.6,385.6,53.7,12.709108,1.0,2268.43,2601.0
76.51,5.99,35.1,2.8,0.0,428.6,385.6,90.7,12.71521795,1.0,2788.76,2971.0
76.49,6.01,35.17,2.78,0.0,428.6,385.6,90.7,12.71133044,1.0,2789.57,2911.0
76.61,5.94,35.15,2.8,0.0,428.6,385.6,141.0,12.70592621,1.0,3482.74,3322.0
76.43,6.02,35.25,2.8,0.0,428.6,385.6,141.0,12.71339598,1.0,3482.72,3304.0
90.15,5.15,13.92,3.08,0.0,346.9,348.2,37.5,11.87400211,1.0,2068.42,2718.0
90.12,5.13,13.85,3.1,0.0,346.9,348.2,37.5,11.8751185,1.0,2063.76,2724.0
90.1,5.15,26.48,3.32,0.0,346.9,342.1,37.5,11.56153621,1.0,2092.86,2718.0
89.06,5.04,26.27,3.28,0.0,346.9,342.1,37.5,11.5580518,1.0,2034.37,2482.0
90.24,5.11,46.77,4.03,0.0,346.9,345.8,37.5,10.77371704,1.0,2116.04,2626.0
89.52,5.08,46.55,4.05,0.0,346.9,345.8,37.5,10.76705395,1.0,2089.25,2462.0
89.36,5.09,13.76,3.09,0.0,464.0,348.2,37.5,11.87464711,1.0,2374.57,3182.0
89.33,5.12,13.69,3.06,0.0,464.0,348.2,37.5,11.87589818,1.0,2380.57,3232.0
90.35,5.15,26.39,3.31,0.0,464.0,342.1,37.5,11.56650899,1.0,2452.51,3286.0
89.94,5.11,26.26,3.29,0.0,464.0,342.1,37.5,11.56668572,1.0,2425.41,3242.0
90.2,5.15,46.45,4.1,0.0,464.0,345.8,37.5,10.78799109,1.0,2482.46,3082.0
90.26,5.09,46.38,4.07,0.0,464.0,345.8,37.5,10.79110966,1.0,2465.23,3192.0
90.05,5.15,26.62,3.33,0.0,346.9,342.1,29.0,11.55670207,1.0,1899.24,2460.0
89.89,5.11,26.24,3.31,0.0,346.9,342.1,29.0,11.56687778,1.0,1884.72,2494.0
89.45,5.1,26.35,3.35,0.0,346.9,342.1,37.5,11.55949695,1.0,2063.2,2623.0
89.98,5.07,26.5,3.35,0.0,346.9,342.1,37.5,11.55915999,1.0,2074.11,2588.0
89.83,5.12,26.14,3.31,0.0,346.9,342.1,51.0,11.56956919,1.0,2382.74,2950.0
89.22,5.08,26.12,3.33,0.0,346.9,342.1,51.0,11.56456483,1.0,2351.33,3026.0
90.89,4.26,26.34,3.36,0.0,336.8,342.1,37.5,11.56504733,1.0,1910.24,2376.0
90.84,4.21,26.35,3.3,0.0,336.8,342.1,37.5,11.56386962,1.0,1895.25,2406.0
89.73,5.12,26.43,3.32,0.0,346.9,342.1,37.5,11.55960833,1.0,2074.66,2611.0
89.32,5.08,26.44,3.31,0.0,346.9,342.1,37.5,11.55531425,1.0,2052.64,2579.0
87.78,6.77,26.51,3.34,0.0,327.3,342.1,37.5,11.55442416,1.0,2274.34,2894.0
87.57,6.73,26.57,3.33,0.0,327.3,342.1,37.5,11.55027207,1.0,2258.76,2928.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,26.26697638,1.0,676.24,632.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,26.26697638,1.0,676.24,686.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,23.73489761,1.0,577.16,418.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,23.73489761,1.0,577.16,424.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,42.68383662,1.0,676.24,534.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,42.68383662,1.0,676.24,553.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,38.56920862,1.0,577.16,354.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,38.56920862,1.0,577.16,381.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,59.10069686,1.0,676.24,415.0
55.12,1.88,21.48,2.52,4.0,322.0,276.0,47.01,59.10069686,1.0,676.24,490.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,53.40351963,1.0,577.16,306.0
55.12,1.88,35.99,2.01,14.0,322.0,275.0,47.01,53.40351963,1.0,577.16,274.0
144.0,6.0,63.5,4.0,0.0,763.0,748.0,102.56,18.41764872,1.0,10672.87,10897.0
144.0,6.0,46.0,4.0,0.0,763.0,748.0,102.83,19.12108347,1.0,11021.88,12015.0
119.0,6.0,46.0,4.0,0.0,763.0,748.0,102.83,22.52330824,1.0,8178.71,8748.0
144.0,6.0,63.5,4.0,0.0,763.0,748.0,102.83,18.41764872,1.0,10686.59,11179.0
144.0,6.0,46.0,4.0,0.0,763.0,748.0,102.56,19.12108347,1.0,11006.41,11867.0
119.0,6.0,46.0,4.0,0.0,763.0,748.0,102.56,22.52330824,1.0,8168.82,8628.0
265.24,3.76,203.37,5.63,0.0,253.8,296.3,45.98,8.896151302,1.0,7615.47,8949.7
265.24,3.76,218.87,5.63,0.0,253.8,296.3,45.98,8.650704721,1.0,6807.32,7924.7
265.24,3.76,232.87,5.63,0.0,253.8,296.3,45.98,8.431843401,1.0,6017.72,6036.7
265.24,3.76,203.37,5.63,0.0,253.8,296.3,24.44,8.896151302,1.0,5810.59,7896.6
265.24,3.76,218.87,5.63,0.0,253.8,296.3,24.44,8.650704721,1.0,5457.14,6735.2
265.24,3.76,232.87,5.63,0.0,253.8,296.3,24.44,8.431843401,1.0,5106.19,5966.8
263.37,5.63,204.37,5.63,0.0,296.3,296.3,24.44,8.880245335,1.0,6901.35,8864.0
263.37,5.63,218.37,5.63,0.0,296.3,296.3,24.44,8.658578439,1.0,6581.57,8068.0
263.37,5.63,230.87,5.63,0.0,296.3,296.3,24.44,8.462902558,1.0,6270.62,6774.0
79.72,2.78,41.82,2.68,0.0,200.0,193.3,109.42,10.70338479,1.0,1927.82,2040.0
79.72,2.78,54.24,2.76,0.0,200.0,193.3,100.51,10.02703124,1.0,1450.64,1900.0
79.72,2.78,67.0,3.0,0.0,200.0,208.3,103.11,9.315091052,1.0,1023.74,1320.0
107.05,2.45,54.24,2.76,0.0,225.0,193.3,97.01,10.7530835,1.0,3063.94,3414.0
